Name,Serial number,Class,DNUSAN,Short description,Category,Subcategory,Manufacturer,Model,Status(hardware_status),Substatus,Type,Count,Program,Project,PO number,PO line number,Assigned to,Owned by,Managed by,Home Location,Location,Location Details,Created,Created by,Updated,Updgted by,Cost center,Comments,Finance Type,Hardware Support Group,Hardware Support Service,Lot Number,Etag
23nameNetadapter,23Netadapter,Net Adapter-Lab,JVF,,Net Adapter-Lab - vfg,,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
23nameMemory,23Memory,Memory,JVF,,Memory - vfg,,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
24nameNetadapter,24Netadapter,Net Adapter-Lab,JVF,,Net Adapter-Lab - vfg,,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
24nameMemory,24Memory,Memory,JVF,,Memory - vfg,,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
25nameNetadapter,25Netadapter,Net Adapter-Lab,JVF,,Net Adapter-Lab - vfg,,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
25nameMemory,25Memory,Memory,JVF,,Memory - vfg,,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
26nameNetadapter,26Netadapter,Net Adapter-Lab,JVF,,Net Adapter-Lab - vfg,,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
26nameMemory,26Memory,Memory,JVF,,Memory - vfg,,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
27nameNetadapter,27Netadapter,Net Adapter-Lab,JVF,,Net Adapter-Lab - vfg,,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
27nameMemory,27Memory,Memory,JVF,,Memory - vfg,,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
28nameNetadapter,28Netadapter,Net Adapter-Lab,JVF,,Net Adapter-Lab - vfg,,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
28nameMemory,28Memory,Memory,JVF,,Memory - vfg,,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
29nameNetadapter,29Netadapter,Net Adapter-Lab,JVF,,Net Adapter-Lab - vfg,,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
29nameMemory,29Memory,Memory,JVF,,Memory - vfg,,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
30nameNetadapter,30Netadapter,Net Adapter-Lab,JVF,,Net Adapter-Lab - vfg,,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
30nameMemory,30Memory,Memory,JVF,,Memory - vfg,,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
31nameNetadapter,31Netadapter,Net Adapter-Lab,JVF,,Net Adapter-Lab - vfg,,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
31nameMemory,31Memory,Memory,JVF,,Memory - vfg,,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
32nameNetadapter,32Netadapter,Net Adapter-Lab,JVF,,Net Adapter-Lab - vfg,,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
32nameMemory,32Memory,Memory,JVF,,Memory - vfg,,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
33nameNetadapter,33Netadapter,Net Adapter-Lab,JVF,,Net Adapter-Lab - vfg,,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
33nameMemory,33Memory,Memory,JVF,,Memory - vfg,,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
34nameNetadapter,34Netadapter,Net Adapter-Lab,JVF,,Net Adapter-Lab - vfg,,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
34nameMemory,34Memory,Memory,JVF,,Memory - vfg,,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
35nameNetadapter,35Netadapter,Net Adapter-Lab,JVF,,Net Adapter-Lab - vfg,,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
35nameMemory,35Memory,Memory,JVF,,Memory - vfg,,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
36nameNetadapter,36Netadapter,Net Adapter-Lab,JVF,,Net Adapter-Lab - vfg,,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
36nameMemory,36Memory,Memory,JVF,,Memory - vfg,,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
37nameNetadapter,37Netadapter,Net Adapter-Lab,JVF,,Net Adapter-Lab - vfg,,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
37nameMemory,37Memory,Memory,JVF,,Memory - vfg,,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
38nameNetadapter,38Netadapter,Net Adapter-Lab,JVF,,Net Adapter-Lab - vfg,,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
38nameMemory,38Memory,Memory,JVF,,Memory - vfg,,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
39nameNetadapter,39Netadapter,Net Adapter-Lab,JVF,,Net Adapter-Lab - vfg,,Mellanox Technologies,ConnectX-6 VPI Adapter Card - MCX653106A-ECAT-SP,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
39nameMemory,39Memory,Memory,JVF,,Memory - vfg,,Memory2.4,abcd Optane Memory,In Stock,Available,Serialwise,1,EGS-R,JKL_RASP,,,,,,,,,,,,,,,,,,,
